the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E61000004165FCFB8C7152C0D0EE906280544440,3443288,4662239,ROCKAWAY BOULEVARD,,2023-09-14 08:45:00+00,40.660168,-73.77423,Queens,11434,1,0,0,1,0,0,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
0101000020E61000008542041C426F52C0001B1021AE544440,3443268,4662734,243 STREET,,2023-09-14 09:30:00+00,40.661564,-73.73841,Queens,11422,1,0,0,6,0,0,0,6,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E61000001A51DA1B7C7352C03C86C77E16574440,3443546,4662705,VAN WYCK EXPWY,,2023-09-12 18:55:00+00,40.680374,-73.80445,Queens,,1,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Sedan,Sedan"
0101000020E61000008A592F86727052C0448655BC91614440,3443286,4662415,NORTHERN BOULEVARD,,2023-09-14 15:36:00+00,40.76226,-73.75699,Queens,11363,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000F819170E847052C0F2EA1C03B2614440,3443473,4662105,CROSS ISLAND PARKWAY,,2023-09-13 17:50:00+00,40.763245,-73.75806,Queens,,1,0,0,1,0,0,0,1,0,"Driver Inexperience,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E61000002D3E05C0787552C09B38B9DFA1624440,3443469,4662097,ULMER STREET,,2023-09-13 15:16:00+00,40.770565,-73.835495,Queens,,1,1,0,0,0,0,0,1,0,"Pavement Defective,Unspecified","Sedan,Bike"
0101000020E61000005A2F8672A26F52C0B1DD3D40F7614440,3443322,4662532,NORTHERN BOULEVARD,,2023-09-13 11:40:00+00,40.765358,-73.74429,Queens,11363,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Bus,Sedan"
0101000020E6100000EE5F5969527452C0890CAB7823634440,3443067,4662482,149 STREET,,2023-09-15 08:08:00+00,40.77452,-73.81753,Queens,11354,1,0,0,0,0,1,0,1,0,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle
0101000020E61000001590F63FC07452C0D3BEB9BF7A644440,3443151,4662706,WHITESTONE EXPRESSWAY,,2023-09-14 14:45:00+00,40.784996,-73.824234,Queens,,1,0,0,4,0,0,0,4,0,"Illnes,Unspecified,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan"
0101000020E6100000EB56CF49EF7552C0E527D53E1D634440,3443043,4663068,126 STREET,,2023-09-15 14:28:00+00,40.77433,-73.84273,Queens,11354,1,0,0,1,0,0,0,1,0,"Traffic Control Disregarded,Traffic Control Disregarded","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E61000007B14AE47E17252C05E9D6340F6624440,3443364,4662477,FRANCIS LEWIS BOULEVARD,,2023-09-13 16:00:00+00,40.77314,-73.795,Queens,,1,1,0,0,0,0,0,1,0,"Passing or Lane Usage Improper,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",Bike
0101000020E610000028B85851836F52C08065A54929604440,3443538,4662773,CROSS ISLAND PARKWAY,,2023-09-12 23:00:00+00,40.75126,-73.74239,Queens,,1,0,0,1,0,0,0,1,0,"Unsafe Speed,Unspecified","Motorcycle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000BBD05CA7917252C0C634D3BD4E604440,3443425,4661925,HOLLIS COURT BOULEVARD,,2023-09-13 00:00:00+00,40.752403,-73.79014,Queens,11358,1,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E6100000764F1E166A6D52C0668522DDCF5D4440,3443087,4662720,86 AVENUE,,2023-09-15 08:43:00+00,40.732906,-73.7096,Queens,11001,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000E7E3DA50317052C07993DFA2935B4440,3443389,4661870,208 STREET,,2023-09-13 08:10:00+00,40.715443,-73.75301,Queens,11428,1,0,0,2,0,0,0,2,0,"Failure to Yield Right-of-Way,Unsafe Speed","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E610000031992A18956E52C000E2AE5E45584440,3443338,4662061,118 AVENUE,,2023-09-13 07:17:00+00,40.689617,-73.72785,Queens,11411,1,0,0,1,0,0,0,1,0,"Traffic Control Disregarded,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E61000009E5E29CB107152C01805C1E3DB5B4440,3443391,4662083,196 STREET,,2023-09-13 18:55:00+00,40.717648,-73.76665,Queens,11423,1,1,0,0,0,0,0,1,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Van,Bike"
0101000020E6100000FCFB8C0B077052C07651F4C0C75C4440,3443200,4662309,214 STREET,,2023-09-14 11:18:00+00,40.724846,-73.75043,Queens,11427,1,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
