the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E6100000A374E95F927E52C000E2AE5E45604440,3477206,4690090,PARK AVENUE,,2023-12-22 08:35:00+00,40.752117,-73.977684,Manhattan,10017.0,1,0,0,1,0,0,0,1,0,"Unspecified,Unspecified,Unspecified","Box Truck,Sedan,Sedan"
0101000020E6100000D8F50B76C37E52C0C1374D9F1D604440,3477364,4689456,MADISON AVENUE,,2023-12-22 15:18:00+00,40.750904,-73.98068,Manhattan,10016.0,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Taxi,Bike"
0101000020E610000077F35487DC7E52C050FBAD9D28634440,3477161,4689408,BROADWAY,,2023-12-23 02:45:00+00,40.774677,-73.98221,Manhattan,,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","E-Bike,Bus"
0101000020E6100000033FAA61BF7D52C00B42791F47614440,3477148,4689457,EAST 58 STREET,,2023-12-23 00:20:00+00,40.759983,-73.964806,Manhattan,10022.0,1,0,0,3,0,0,0,3,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Van"
0101000020E61000001D9430D3F67D52C098141F9F90614440,3477569,4689937,LEXINGTON AVENUE,,2023-12-19 19:50:00+00,40.762226,-73.96819,Manhattan,10022.0,1,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Taxi,SANITATION"
0101000020E6100000DF32A7CB628052C0802A6EDC625A4440,3477334,4689620,MAIDEN LANE,,2023-12-22 13:00:00+00,40.706142,-74.00603,Manhattan,10005.0,1,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Sedan"
0101000020E6100000E9F17B9BFE7E52C0672783A3E4614440,3477865,4690338,8 AVENUE,,2023-12-09 18:13:00+00,40.76479,-73.98429,Manhattan,10019.0,1,0,0,1,0,0,0,1,0,"Passing Too Closely,Unspecified","Taxi,Motorcycle"
0101000020E6100000D690B8C7D27D52C08D4127840E604440,3477847,4690230,FDR DRIVE,,2023-12-16 04:31:00+00,40.750443,-73.96599,Manhattan,,1,0,0,1,0,0,0,1,0,"Unsafe Lane Changing,Unspecified","ambulance,Sedan"
0101000020E6100000D95A5F24B47B52C0A1866F61DD6C4440,3477809,4690115,SAINT NICHOLAS AVENUE,,2023-12-21 15:05:00+00,40.850506,-73.93287,Manhattan,,1,0,0,1,0,0,0,1,0,"Turning Improperly,Unspecified","Motorcycle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000CEAACFD5567E52C06FBBD05CA75F4440,3477859,4690375,2 AVENUE,,2023-12-14 00:14:00+00,40.747295,-73.97405,Manhattan,10016.0,1,1,0,0,0,0,0,1,0,"Unsafe Speed,Unspecified","Sedan,Bike"
0101000020E6100000E9F17B9BFE7E52C0672783A3E4614440,3477840,4690159,WEST 54 STREET,,2023-12-18 17:11:00+00,40.76479,-73.98429,Manhattan,10019.0,1,0,0,0,0,1,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan
0101000020E6100000DE03745FCE7E52C03FA7203F1B614440,3477782,4690331,WEST 48 STREET,,2023-12-22 20:10:00+00,40.758644,-73.981346,Manhattan,,1,0,0,0,0,1,0,1,0,,Taxi
