the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E610000042EC4CA1F37652C04F75C8CD706B4440,3489508,4698224,,1507      METROPOLITAN AVENUE,2024-01-26 12:45:00+00,40.83938,-73.85862,Bronx,10462.0,1,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Bus"
0101000020E6100000B2F50CE1987952C03750E09D7C684440,3489629,4697990,KELLY STREET,,2024-01-25 21:30:00+00,40.816303,-73.899956,Bronx,10455.0,1,0,0,0,0,0,0,0,0,Unspecified,"Pick-up Truck,Sedan"
0101000020E6100000E1D1C6116B7552C012A27C410B6D4440,3489657,4698566,MULFORD AVENUE,,2024-01-24 08:07:00+00,40.851906,-73.83466,Bronx,10461.0,1,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Sedan"
0101000020E610000029ED0DBE307A52C0CC5D4BC8076D4440,3489529,4697973,JEROME AVENUE,,2024-01-26 12:20:00+00,40.8518,-73.909225,Bronx,,1,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction,Unspecified",Pick-up Truck
0101000020E6100000B6BE4868CB7952C01DC9E53FA4674440,3489669,4698624,BRUCKNER BOULEVARD,,2024-01-20 15:20:00+00,40.8097,-73.90304,Bronx,10455.0,1,0,0,0,0,0,0,0,0,"Turning Improperly,Unspecified","Station Wagon/Sport Utility Vehicle,Hopper"
0101000020E61000009DBAF2599E7B52C0C6850321596A4440,3489585,4698051,WEST 161 STREET,,2024-01-26 16:13:00+00,40.830845,-73.93154,Bronx,10451.0,1,0,0,0,0,0,0,0,0,"Passing Too Closely,Unspecified","Sedan,Garbage or Refuse"
0101000020E6100000FB3F87F9F27652C0ED9FA70183704440,3489489,4698351,EAST 215 STREET,,2024-01-26 22:55:00+00,40.878998,-73.85858,Bronx,,1,0,0,0,0,0,0,0,0,"Unsafe Speed,Unspecified","Sedan,Sedan"
0101000020E610000097E2AAB2EF7652C08CA19C6857714440,3489458,4698344,EAST 223 STREET,,2024-01-26 10:45:00+00,40.88548,-73.85838,Bronx,10466.0,1,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E61000001899805F237552C01DE736E15E714440,3489533,4698350,,3645      ROMBOUTS AVENUE,2024-01-26 15:50:00+00,40.885708,-73.830284,Bronx,10466.0,1,0,0,0,0,0,0,0,0,"Passing Too Closely,Unspecified","Box Truck,Station Wagon/Sport Utility Vehicle"
0101000020E610000004FF5BC98E7552C06B48DC63E9714440,3489561,4698340,,3939      SETON AVENUE,2024-01-26 14:48:00+00,40.889935,-73.83684,Bronx,10466.0,1,0,0,0,0,0,0,0,0,"Brakes Defective,Unspecified,Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle"
